result_id,oligo_id,assay_system,endpoint,concentration_um,timepoint_h,replicate_bio,replicate_tech,batch_id,plate_id,cell_donor_id,value_raw,value_normalized,unit,plate_qc_pass,qc_flag,is_anchor
3411,OT-00010,PBMC,IFNa,50.0,24,2,1,BATCH-E,PLT-E-PBM-IFN-0500,DONOR-02,30.323,30.323,% vehicle ctrl,True,pass,1
3412,OT-00010,PBMC,IFNa,50.0,24,2,2,BATCH-E,PLT-E-PBM-IFN-0500,DONOR-02,32.737,32.737,% vehicle ctrl,True,pass,1
3413,OT-00010,PBMC,IFNa,50.0,24,3,1,BATCH-E,PLT-E-PBM-IFN-0500,DONOR-03,29.045,29.045,% vehicle ctrl,True,pass,1
3414,OT-00010,PBMC,IFNa,50.0,24,3,2,BATCH-E,PLT-E-PBM-IFN-0500,DONOR-03,35.813,35.813,% vehicle ctrl,True,pass,1
3415,OT-00010,PBMC,IFNa,100.0,24,1,1,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-01,40.218,40.218,% vehicle ctrl,True,pass,1
3416,OT-00010,PBMC,IFNa,100.0,24,1,2,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-01,29.985,29.985,% vehicle ctrl,True,pass,1
3417,OT-00010,PBMC,IFNa,100.0,24,2,1,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-02,42.481,42.481,% vehicle ctrl,True,pass,1
3418,OT-00010,PBMC,IFNa,100.0,24,2,2,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-02,37.519,37.519,% vehicle ctrl,True,pass,1
3419,OT-00010,PBMC,IFNa,100.0,24,3,1,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-03,36.856,36.856,% vehicle ctrl,True,pass,1
3420,OT-00010,PBMC,IFNa,100.0,24,3,2,BATCH-E,PLT-E-PBM-IFN-1000,DONOR-03,32.039,32.039,% vehicle ctrl,True,pass,1
3421,OT-00010,PBMC,IL6,0.01,24,1,1,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-01,0.0,0.0,% vehicle ctrl,True,pass,1
3422,OT-00010,PBMC,IL6,0.01,24,1,2,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-01,1.594,1.594,% vehicle ctrl,True,pass,1
3423,OT-00010,PBMC,IL6,0.01,24,2,1,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-02,3.715,3.715,% vehicle ctrl,True,pass,1
3424,OT-00010,PBMC,IL6,0.01,24,2,2,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-02,8.812,8.812,% vehicle ctrl,True,pass,1
3425,OT-00010,PBMC,IL6,0.01,24,3,1,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-03,9.36,9.36,% vehicle ctrl,True,pass,1
3426,OT-00010,PBMC,IL6,0.01,24,3,2,BATCH-E,PLT-E-PBM-IL6-0000,DONOR-03,2.444,2.444,% vehicle ctrl,True,pass,1
3427,OT-00010,PBMC,IL6,0.1,24,1,1,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-01,2.366,2.366,% vehicle ctrl,True,pass,1
3428,OT-00010,PBMC,IL6,0.1,24,1,2,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-01,6.115,6.115,% vehicle ctrl,True,pass,1
3429,OT-00010,PBMC,IL6,0.1,24,2,1,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-02,6.316,6.316,% vehicle ctrl,True,pass,1
3430,OT-00010,PBMC,IL6,0.1,24,2,2,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-02,8.059,8.059,% vehicle ctrl,True,pass,1
3431,OT-00010,PBMC,IL6,0.1,24,3,1,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-03,7.991,7.991,% vehicle ctrl,True,pass,1
3432,OT-00010,PBMC,IL6,0.1,24,3,2,BATCH-E,PLT-E-PBM-IL6-0001,DONOR-03,1.586,1.586,% vehicle ctrl,True,pass,1
3433,OT-00010,PBMC,IL6,1.0,24,1,1,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-01,0.511,0.511,% vehicle ctrl,True,pass,1
3434,OT-00010,PBMC,IL6,1.0,24,1,2,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-01,7.026,7.026,% vehicle ctrl,True,pass,1
3435,OT-00010,PBMC,IL6,1.0,24,2,1,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-02,5.789,5.789,% vehicle ctrl,True,pass,1
3436,OT-00010,PBMC,IL6,1.0,24,2,2,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-02,0.0,0.0,% vehicle ctrl,True,pass,1
3437,OT-00010,PBMC,IL6,1.0,24,3,1,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
3438,OT-00010,PBMC,IL6,1.0,24,3,2,BATCH-E,PLT-E-PBM-IL6-0010,DONOR-03,0.453,0.453,% vehicle ctrl,True,pass,1
3439,OT-00010,PBMC,IL6,10.0,24,1,1,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-01,14.063,14.063,% vehicle ctrl,True,pass,1
3440,OT-00010,PBMC,IL6,10.0,24,1,2,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-01,11.883,11.883,% vehicle ctrl,True,pass,1
3441,OT-00010,PBMC,IL6,10.0,24,2,1,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-02,13.779,13.779,% vehicle ctrl,True,pass,1
3442,OT-00010,PBMC,IL6,10.0,24,2,2,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-02,9.043,9.043,% vehicle ctrl,True,pass,1
3443,OT-00010,PBMC,IL6,10.0,24,3,1,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-03,14.319,14.319,% vehicle ctrl,True,pass,1
3444,OT-00010,PBMC,IL6,10.0,24,3,2,BATCH-E,PLT-E-PBM-IL6-0100,DONOR-03,12.858,12.858,% vehicle ctrl,True,pass,1
3445,OT-00010,PBMC,IL6,50.0,24,1,1,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-01,24.925,24.925,% vehicle ctrl,True,pass,1
3446,OT-00010,PBMC,IL6,50.0,24,1,2,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-01,21.28,21.28,% vehicle ctrl,True,pass,1
3447,OT-00010,PBMC,IL6,50.0,24,2,1,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-02,21.156,21.156,% vehicle ctrl,True,pass,1
3448,OT-00010,PBMC,IL6,50.0,24,2,2,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-02,18.234,18.234,% vehicle ctrl,True,pass,1
3449,OT-00010,PBMC,IL6,50.0,24,3,1,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-03,22.585,22.585,% vehicle ctrl,True,pass,1
3450,OT-00010,PBMC,IL6,50.0,24,3,2,BATCH-E,PLT-E-PBM-IL6-0500,DONOR-03,25.177,25.177,% vehicle ctrl,True,pass,1
3451,OT-00010,PBMC,IL6,100.0,24,1,1,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-01,31.346,31.346,% vehicle ctrl,True,pass,1
3452,OT-00010,PBMC,IL6,100.0,24,1,2,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-01,21.808,21.808,% vehicle ctrl,True,pass,1
3453,OT-00010,PBMC,IL6,100.0,24,2,1,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-02,26.837,26.837,% vehicle ctrl,True,pass,1
3454,OT-00010,PBMC,IL6,100.0,24,2,2,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-02,30.692,30.692,% vehicle ctrl,True,pass,1
3455,OT-00010,PBMC,IL6,100.0,24,3,1,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-03,30.331,30.331,% vehicle ctrl,True,pass,1
3456,OT-00010,PBMC,IL6,100.0,24,3,2,BATCH-E,PLT-E-PBM-IL6-1000,DONOR-03,25.143,25.143,% vehicle ctrl,True,pass,1
3457,OT-00010,PBMC,TNFa,0.01,24,1,1,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-01,3.111,3.111,% vehicle ctrl,True,pass,1
3458,OT-00010,PBMC,TNFa,0.01,24,1,2,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-01,2.484,2.484,% vehicle ctrl,True,pass,1
3459,OT-00010,PBMC,TNFa,0.01,24,2,1,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-02,2.908,2.908,% vehicle ctrl,True,pass,1
3460,OT-00010,PBMC,TNFa,0.01,24,2,2,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-02,11.43,11.43,% vehicle ctrl,True,pass,1
3461,OT-00010,PBMC,TNFa,0.01,24,3,1,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-03,6.822,6.822,% vehicle ctrl,True,pass,1
3462,OT-00010,PBMC,TNFa,0.01,24,3,2,BATCH-E,PLT-E-PBM-TNF-0000,DONOR-03,4.732,4.732,% vehicle ctrl,True,pass,1
3463,OT-00010,PBMC,TNFa,0.1,24,1,1,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-01,7.23,7.23,% vehicle ctrl,True,pass,1
3464,OT-00010,PBMC,TNFa,0.1,24,1,2,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-01,7.643,7.643,% vehicle ctrl,True,pass,1
3465,OT-00010,PBMC,TNFa,0.1,24,2,1,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-02,10.676,10.676,% vehicle ctrl,True,pass,1
3466,OT-00010,PBMC,TNFa,0.1,24,2,2,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-02,0.235,0.235,% vehicle ctrl,True,pass,1
3467,OT-00010,PBMC,TNFa,0.1,24,3,1,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-03,3.729,3.729,% vehicle ctrl,True,pass,1
3468,OT-00010,PBMC,TNFa,0.1,24,3,2,BATCH-E,PLT-E-PBM-TNF-0001,DONOR-03,0.0,0.0,% vehicle ctrl,True,pass,1
3469,OT-00010,PBMC,TNFa,1.0,24,1,1,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-01,14.738,14.738,% vehicle ctrl,True,pass,1
3470,OT-00010,PBMC,TNFa,1.0,24,1,2,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-01,12.723,12.723,% vehicle ctrl,True,pass,1
3471,OT-00010,PBMC,TNFa,1.0,24,2,1,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-02,5.818,5.818,% vehicle ctrl,True,pass,1
3472,OT-00010,PBMC,TNFa,1.0,24,2,2,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-02,10.785,10.785,% vehicle ctrl,True,pass,1
3473,OT-00010,PBMC,TNFa,1.0,24,3,1,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-03,7.119,7.119,% vehicle ctrl,True,pass,1
3474,OT-00010,PBMC,TNFa,1.0,24,3,2,BATCH-E,PLT-E-PBM-TNF-0010,DONOR-03,7.19,7.19,% vehicle ctrl,True,pass,1
3475,OT-00010,PBMC,TNFa,10.0,24,1,1,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-01,37.828,37.828,% vehicle ctrl,True,pass,1
3476,OT-00010,PBMC,TNFa,10.0,24,1,2,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-01,26.023,26.023,% vehicle ctrl,True,pass,1
3477,OT-00010,PBMC,TNFa,10.0,24,2,1,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-02,24.992,24.992,% vehicle ctrl,True,pass,1
3478,OT-00010,PBMC,TNFa,10.0,24,2,2,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-02,25.999,25.999,% vehicle ctrl,True,pass,1
3479,OT-00010,PBMC,TNFa,10.0,24,3,1,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-03,32.186,32.186,% vehicle ctrl,True,pass,1
3480,OT-00010,PBMC,TNFa,10.0,24,3,2,BATCH-E,PLT-E-PBM-TNF-0100,DONOR-03,28.45,28.45,% vehicle ctrl,True,pass,1
3481,OT-00010,PBMC,TNFa,50.0,24,1,1,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-01,55.055,55.055,% vehicle ctrl,True,pass,1
3482,OT-00010,PBMC,TNFa,50.0,24,1,2,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-01,54.259,54.259,% vehicle ctrl,True,pass,1
3483,OT-00010,PBMC,TNFa,50.0,24,2,1,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-02,58.534,58.534,% vehicle ctrl,True,pass,1
3484,OT-00010,PBMC,TNFa,50.0,24,2,2,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-02,58.176,58.176,% vehicle ctrl,True,pass,1
3485,OT-00010,PBMC,TNFa,50.0,24,3,1,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-03,52.874,52.874,% vehicle ctrl,True,pass,1
3486,OT-00010,PBMC,TNFa,50.0,24,3,2,BATCH-E,PLT-E-PBM-TNF-0500,DONOR-03,53.79,53.79,% vehicle ctrl,True,pass,1
3487,OT-00010,PBMC,TNFa,100.0,24,1,1,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-01,67.587,67.587,% vehicle ctrl,True,pass,1
3488,OT-00010,PBMC,TNFa,100.0,24,1,2,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-01,74.781,74.781,% vehicle ctrl,True,pass,1
3489,OT-00010,PBMC,TNFa,100.0,24,2,1,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-02,70.048,70.048,% vehicle ctrl,True,pass,1
3490,OT-00010,PBMC,TNFa,100.0,24,2,2,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-02,68.74,68.74,% vehicle ctrl,True,pass,1
3491,OT-00010,PBMC,TNFa,100.0,24,3,1,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-03,68.199,68.199,% vehicle ctrl,True,pass,1
3492,OT-00010,PBMC,TNFa,100.0,24,3,2,BATCH-E,PLT-E-PBM-TNF-1000,DONOR-03,64.481,64.481,% vehicle ctrl,True,pass,1
3493,OT-00010,PBMC,C3a,0.01,24,1,1,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-01,10.521,10.521,% vehicle ctrl,True,pass,1
3494,OT-00010,PBMC,C3a,0.01,24,1,2,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-01,7.151,7.151,% vehicle ctrl,True,pass,1
3495,OT-00010,PBMC,C3a,0.01,24,2,1,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-02,12.091,12.091,% vehicle ctrl,True,pass,1
3496,OT-00010,PBMC,C3a,0.01,24,2,2,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-02,3.939,3.939,% vehicle ctrl,True,pass,1
3497,OT-00010,PBMC,C3a,0.01,24,3,1,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-03,10.893,10.893,% vehicle ctrl,True,pass,1
3498,OT-00010,PBMC,C3a,0.01,24,3,2,BATCH-E,PLT-E-PBM-C3a-0000,DONOR-03,10.717,10.717,% vehicle ctrl,True,pass,1
3499,OT-00010,PBMC,C3a,0.1,24,1,1,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-01,7.715,7.715,% vehicle ctrl,True,pass,1
3500,OT-00010,PBMC,C3a,0.1,24,1,2,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-01,6.223,6.223,% vehicle ctrl,True,pass,1
3501,OT-00010,PBMC,C3a,0.1,24,2,1,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-02,7.924,7.924,% vehicle ctrl,True,pass,1
3502,OT-00010,PBMC,C3a,0.1,24,2,2,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-02,7.258,7.258,% vehicle ctrl,True,pass,1
3503,OT-00010,PBMC,C3a,0.1,24,3,1,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-03,8.992,8.992,% vehicle ctrl,True,pass,1
3504,OT-00010,PBMC,C3a,0.1,24,3,2,BATCH-E,PLT-E-PBM-C3a-0001,DONOR-03,8.385,8.385,% vehicle ctrl,True,pass,1
3505,OT-00010,PBMC,C3a,1.0,24,1,1,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-01,46.244,46.244,% vehicle ctrl,True,pass,1
3506,OT-00010,PBMC,C3a,1.0,24,1,2,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-01,42.067,42.067,% vehicle ctrl,True,pass,1
3507,OT-00010,PBMC,C3a,1.0,24,2,1,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-02,45.067,45.067,% vehicle ctrl,True,pass,1
3508,OT-00010,PBMC,C3a,1.0,24,2,2,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-02,49.935,49.935,% vehicle ctrl,True,pass,1
3509,OT-00010,PBMC,C3a,1.0,24,3,1,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-03,45.612,45.612,% vehicle ctrl,True,pass,1
3510,OT-00010,PBMC,C3a,1.0,24,3,2,BATCH-E,PLT-E-PBM-C3a-0010,DONOR-03,48.768,48.768,% vehicle ctrl,True,pass,1
3511,OT-00010,PBMC,C3a,10.0,24,1,1,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-01,92.406,92.406,% vehicle ctrl,True,pass,1
3512,OT-00010,PBMC,C3a,10.0,24,1,2,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-01,99.104,99.104,% vehicle ctrl,True,pass,1
3513,OT-00010,PBMC,C3a,10.0,24,2,1,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-02,91.846,91.846,% vehicle ctrl,True,pass,1
3514,OT-00010,PBMC,C3a,10.0,24,2,2,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-02,92.124,92.124,% vehicle ctrl,True,pass,1
3515,OT-00010,PBMC,C3a,10.0,24,3,1,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-03,92.808,92.808,% vehicle ctrl,True,pass,1
3516,OT-00010,PBMC,C3a,10.0,24,3,2,BATCH-E,PLT-E-PBM-C3a-0100,DONOR-03,94.139,94.139,% vehicle ctrl,True,pass,1
3517,OT-00010,PBMC,C3a,50.0,24,1,1,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-01,97.732,97.732,% vehicle ctrl,True,pass,1
3518,OT-00010,PBMC,C3a,50.0,24,1,2,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-01,95.339,95.339,% vehicle ctrl,True,pass,1
3519,OT-00010,PBMC,C3a,50.0,24,2,1,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-02,95.602,95.602,% vehicle ctrl,True,pass,1
3520,OT-00010,PBMC,C3a,50.0,24,2,2,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-02,84.921,84.921,% vehicle ctrl,True,pass,1
3521,OT-00010,PBMC,C3a,50.0,24,3,1,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-03,92.739,92.739,% vehicle ctrl,True,pass,1
3522,OT-00010,PBMC,C3a,50.0,24,3,2,BATCH-E,PLT-E-PBM-C3a-0500,DONOR-03,91.981,91.981,% vehicle ctrl,True,pass,1
3523,OT-00010,PBMC,C3a,100.0,24,1,1,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-01,93.435,93.435,% vehicle ctrl,True,pass,1
3524,OT-00010,PBMC,C3a,100.0,24,1,2,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-01,92.164,92.164,% vehicle ctrl,True,pass,1
3525,OT-00010,PBMC,C3a,100.0,24,2,1,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-02,92.77,92.77,% vehicle ctrl,True,pass,1
3526,OT-00010,PBMC,C3a,100.0,24,2,2,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-02,98.14,98.14,% vehicle ctrl,True,pass,1
3527,OT-00010,PBMC,C3a,100.0,24,3,1,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-03,93.249,93.249,% vehicle ctrl,True,pass,1
3528,OT-00010,PBMC,C3a,100.0,24,3,2,BATCH-E,PLT-E-PBM-C3a-1000,DONOR-03,94.322,94.322,% vehicle ctrl,True,pass,1
3529,OT-00010,PBMC,C5a,0.01,24,1,1,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-01,12.105,12.105,% vehicle ctrl,True,pass,1
3530,OT-00010,PBMC,C5a,0.01,24,1,2,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-01,16.309,16.309,% vehicle ctrl,True,pass,1
3531,OT-00010,PBMC,C5a,0.01,24,2,1,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-02,15.097,15.097,% vehicle ctrl,True,pass,1
3532,OT-00010,PBMC,C5a,0.01,24,2,2,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-02,15.172,15.172,% vehicle ctrl,True,pass,1
3533,OT-00010,PBMC,C5a,0.01,24,3,1,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-03,10.955,10.955,% vehicle ctrl,True,pass,1
3534,OT-00010,PBMC,C5a,0.01,24,3,2,BATCH-E,PLT-E-PBM-C5a-0000,DONOR-03,12.659,12.659,% vehicle ctrl,True,pass,1
3535,OT-00010,PBMC,C5a,0.1,24,1,1,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-01,10.592,10.592,% vehicle ctrl,True,pass,1
3536,OT-00010,PBMC,C5a,0.1,24,1,2,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-01,13.948,13.948,% vehicle ctrl,True,pass,1
3537,OT-00010,PBMC,C5a,0.1,24,2,1,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-02,11.104,11.104,% vehicle ctrl,True,pass,1
3538,OT-00010,PBMC,C5a,0.1,24,2,2,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-02,10.435,10.435,% vehicle ctrl,True,pass,1
3539,OT-00010,PBMC,C5a,0.1,24,3,1,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-03,12.163,12.163,% vehicle ctrl,True,pass,1
3540,OT-00010,PBMC,C5a,0.1,24,3,2,BATCH-E,PLT-E-PBM-C5a-0001,DONOR-03,14.94,14.94,% vehicle ctrl,True,pass,1
3541,OT-00010,PBMC,C5a,1.0,24,1,1,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-01,14.39,14.39,% vehicle ctrl,True,pass,1
3542,OT-00010,PBMC,C5a,1.0,24,1,2,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-01,10.718,10.718,% vehicle ctrl,True,pass,1
3543,OT-00010,PBMC,C5a,1.0,24,2,1,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-02,16.312,16.312,% vehicle ctrl,True,pass,1
3544,OT-00010,PBMC,C5a,1.0,24,2,2,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-02,9.291,9.291,% vehicle ctrl,True,pass,1
3545,OT-00010,PBMC,C5a,1.0,24,3,1,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-03,9.933,9.933,% vehicle ctrl,True,pass,1
3546,OT-00010,PBMC,C5a,1.0,24,3,2,BATCH-E,PLT-E-PBM-C5a-0010,DONOR-03,14.328,14.328,% vehicle ctrl,True,pass,1
3547,OT-00010,PBMC,C5a,10.0,24,1,1,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-01,50.967,50.967,% vehicle ctrl,True,pass,1
3548,OT-00010,PBMC,C5a,10.0,24,1,2,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-01,56.106,56.106,% vehicle ctrl,True,pass,1
3549,OT-00010,PBMC,C5a,10.0,24,2,1,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-02,55.742,55.742,% vehicle ctrl,True,pass,1
3550,OT-00010,PBMC,C5a,10.0,24,2,2,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-02,65.92,65.92,% vehicle ctrl,True,pass,1
3551,OT-00010,PBMC,C5a,10.0,24,3,1,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-03,55.316,55.316,% vehicle ctrl,True,pass,1
3552,OT-00010,PBMC,C5a,10.0,24,3,2,BATCH-E,PLT-E-PBM-C5a-0100,DONOR-03,54.984,54.984,% vehicle ctrl,True,pass,1
3553,OT-00010,PBMC,C5a,50.0,24,1,1,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-01,83.319,83.319,% vehicle ctrl,True,pass,1
3554,OT-00010,PBMC,C5a,50.0,24,1,2,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-01,76.378,76.378,% vehicle ctrl,True,pass,1
3555,OT-00010,PBMC,C5a,50.0,24,2,1,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-02,76.939,76.939,% vehicle ctrl,True,pass,1
3556,OT-00010,PBMC,C5a,50.0,24,2,2,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-02,77.29,77.29,% vehicle ctrl,True,pass,1
3557,OT-00010,PBMC,C5a,50.0,24,3,1,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-03,78.043,78.043,% vehicle ctrl,True,pass,1
3558,OT-00010,PBMC,C5a,50.0,24,3,2,BATCH-E,PLT-E-PBM-C5a-0500,DONOR-03,80.004,80.004,% vehicle ctrl,True,pass,1
3559,OT-00010,PBMC,C5a,100.0,24,1,1,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-01,82.959,82.959,% vehicle ctrl,True,pass,1
3560,OT-00010,PBMC,C5a,100.0,24,1,2,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-01,83.189,83.189,% vehicle ctrl,True,pass,1
3561,OT-00010,PBMC,C5a,100.0,24,2,1,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-02,76.931,76.931,% vehicle ctrl,True,pass,1
3562,OT-00010,PBMC,C5a,100.0,24,2,2,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-02,79.304,79.304,% vehicle ctrl,True,pass,1
3563,OT-00010,PBMC,C5a,100.0,24,3,1,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-03,75.958,75.958,% vehicle ctrl,True,pass,1
3564,OT-00010,PBMC,C5a,100.0,24,3,2,BATCH-E,PLT-E-PBM-C5a-1000,DONOR-03,74.919,74.919,% vehicle ctrl,True,pass,1
3565,OT-00010,PBMC,TLR9_activation,0.01,24,1,1,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-01,3.834,3.834,% vehicle ctrl,True,pass,1
3566,OT-00010,PBMC,TLR9_activation,0.01,24,1,2,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-01,14.257,14.257,% vehicle ctrl,True,pass,1
3567,OT-00010,PBMC,TLR9_activation,0.01,24,2,1,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-02,2.549,2.549,% vehicle ctrl,True,pass,1
3568,OT-00010,PBMC,TLR9_activation,0.01,24,2,2,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-02,6.119,6.119,% vehicle ctrl,True,pass,1
3569,OT-00010,PBMC,TLR9_activation,0.01,24,3,1,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-03,0.43,0.43,% vehicle ctrl,True,pass,1
3570,OT-00010,PBMC,TLR9_activation,0.01,24,3,2,BATCH-E,PLT-E-PBM-TLR-0000,DONOR-03,6.426,6.426,% vehicle ctrl,True,pass,1
3571,OT-00010,PBMC,TLR9_activation,0.1,24,1,1,BATCH-E,PLT-E-PBM-TLR-0001,DONOR-01,2.736,2.736,% vehicle ctrl,True,pass,1
3572,OT-00010,PBMC,TLR9_activation,0.1,24,1,2,BATCH-E,PLT-E-PBM-TLR-0001,DONOR-01,5.137,5.137,% vehicle ctrl,True,pass,1
3573,OT-00010,PBMC,TLR9_activation,0.1,24,2,1,BATCH-E,PLT-E-PBM-TLR-0001,DONOR-02,0.664,0.664,% vehicle ctrl,True,pass,1
3574,OT-00010,PBMC,TLR9_activation,0.1,24,2,2,BATCH-E,PLT-E-PBM-TLR-0001,DONOR-02,0.244,0.244,% vehicle ctrl,True,pass,1
